"","Region","Internet1317","Internet2003","AveIntAcc","skin.lightening.2004","skin.lightening.2005","skin.lightening.2006","skin.lightening.2007","skin.lightening.2008","skin.lightening.2009","skin.lightening.2010","skin.lightening.2011","skin.lightening.2012","skin.lightening.2013","skin.lightening.2014","skin.lightening.2015","skin.lightening.2016","skin.lightening.2017","skin.lightening.2018","skin.lightening.2019"
"1","Alabama",75.0220149,45.8,60.41100745,0,0,15,39,53,53,42,47,59,31,79,60,52,61,59,48
"2","Alaska",86.5714195,68.5,77.53570975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Arizona",83.488612,55.3,69.394306,8,72,10,24,29,52,68,68,65,40,72,61,65,52,67,42
"4","Arkansas",74.1483198,42.3,58.2241599,0,100,29,0,73,52,56,75,63,29,54,40,60,51,45,47
"5","California",86.0054307,59.6,72.80271535,10,34,17,38,38,54,55,77,82,52,78,75,73,67,74,64
"6","Colorado",87.8354752,63.4,75.6177376,8,21,13,24,32,46,41,40,47,29,46,53,50,35,37,32
"7","Connecticut",85.5340351,62.9,74.21701755,12,40,28,35,35,56,50,47,59,44,51,64,65,55,54,50
"8","Delaware",84.2049399,56.9,70.55246995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","District of Columbia",82.5271148,53.2,67.8635574,17,78,22,50,68,66,92,66,80,53,52,88,69,77,73,50
"10","Florida",83.2293597,55.7,69.46467985,10,32,20,37,51,90,84,78,98,55,88,85,84,77,80,65
"11","Georgia",81.314317,53.7,67.5071585,13,30,16,29,26,66,79,86,100,54,88,83,100,83,86,84
"12","Hawaii",85.5985265,54.9,70.24926325,100,84,0,100,96,68,100,100,89,100,73,91,78,52,76,49
"13","Idaho",82.4753252,56.4,69.4376626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Illinois",82.6071319,51.2,66.90356595,10,17,12,23,37,38,58,46,60,39,71,58,57,54,53,51
"15","Indiana",79.7865669,51.2,65.49328345,13,0,10,20,15,45,50,55,43,26,28,47,39,38,37,30
"16","Iowa",81.4576214,57,69.2288107,0,55,0,0,27,54,67,35,33,18,34,44,32,37,40,32
"17","Kansas",81.9528265,54.3,68.12641325,20,48,47,21,46,49,39,46,31,18,46,26,51,63,44,58
"18","Kentucky",77.4491248,49.9,63.6745624,0,0,0,14,33,45,54,25,20,27,44,41,43,37,44,42
"19","Louisiana",74.5222989,44.1,59.31114945,19,52,46,28,40,70,74,89,69,39,66,95,76,64,68,46
"20","Maine",82.6237544,58.1,70.3618772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Maryland",86.4811358,59.4,72.9405679,12,39,19,35,53,98,97,92,89,59,100,100,97,92,91,100
"22","Massachusetts",86.1682745,58.1,72.13413725,8,26,7,26,29,50,61,57,55,34,58,62,67,50,57,40
"23","Michigan",81.420911,52,66.7104555,13,43,9,15,29,40,45,46,55,33,42,48,42,41,38,38
"24","Minnesota",85.2577696,61.7,73.4788848,8,0,6,11,23,55,40,46,49,27,41,50,57,47,41,36
"25","Mississippi",70.0102581,39.5,54.75512905,0,0,100,0,99,100,99,46,80,30,62,87,75,73,76,69
"26","Missouri",80.1018187,53,66.55090935,8,46,6,34,40,40,51,47,41,35,41,39,42,37,42,35
"27","Montana",81.0148223,50.8,65.90741115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Nebraska",82.4485406,55.8,69.1242703,0,71,22,31,35,62,43,43,27,27,30,39,31,38,32,29
"29","Nevada",83.6084425,55.3,69.45422125,57,68,26,24,100,75,81,55,75,54,100,74,75,54,64,65
"30","New Hampshire",88.1483169,65.5,76.82415845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","New Jersey",85.7265034,60.2,72.9632517,7,41,19,38,45,68,93,82,81,52,90,91,88,62,73,62
"32","New Mexico",74.4932408,44.8,59.6466204,0,0,0,40,47,87,70,73,61,30,76,45,53,52,47,34
"33","New York",82.835824,53.3,68.067912,9,27,16,30,47,68,81,87,95,64,89,95,99,100,100,81
"34","North Carolina",80.2126088,51.3,65.7563044,0,50,15,23,35,47,95,56,67,43,54,59,61,53,64,55
"35","North Dakota",83.1875451,53.6,68.39377255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Ohio",81.356422,52.4,66.878211,5,20,9,17,26,43,39,42,44,26,41,43,51,39,43,41
"37","Oklahoma",77.9886737,48.3,63.14433685,21,82,17,35,34,58,90,41,56,35,61,67,49,36,38,29
"38","Oregon",86.2920749,61.1,73.69603745,22,0,25,16,25,23,28,29,30,20,21,41,39,29,34,36
"39","Pennsylvania",80.7640308,54.7,67.7320154,5,10,10,23,30,47,58,47,54,35,59,61,55,51,57,44
"40","Rhode Island",83.1606104,55.7,69.4303052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","South Carolina",77.4609404,45.9,61.6804702,19,50,15,19,31,84,74,57,71,46,63,62,71,60,68,50
"42","South Dakota",80.8901248,53.7,67.2950624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Tennessee",77.2567382,49,63.1283691,11,59,14,25,23,61,52,46,59,32,54,54,46,54,47,46
"44","Texas",81.1393428,51.8,66.4696714,8,18,9,34,45,68,75,59,75,51,71,81,74,71,65,61
"45","Utah",89.3391164,62.6,75.9695582,0,0,0,39,22,20,53,62,44,14,39,37,48,34,21,37
"46","Vermont",83.9526563,58,70.97632815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Virginia",84.2001445,60.4,72.30007225,13,27,12,33,25,39,35,62,78,52,67,83,79,62,70,57
"48","Washington",88.0131959,62.3,75.15659795,11,30,9,35,31,57,49,36,56,37,46,52,47,46,42,47
"49","West Virginia",74.8282093,47.4,61.11410465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Wisconsin",82.3810931,57.5,69.94054655,0,22,14,14,32,31,35,33,40,19,35,30,34,27,22,21
"51","Wyoming",84.3808771,57.9,71.14043855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
