Id,Id2,Region,Estimate; Total:,Internet Access,Margin of Error; Total:,Estimate; Total: - With an Internet subscription,Margin of Error; Total: - With an Internet subscription,Estimate; Total: - With an Internet subscription - Other service,Margin of Error; Total: - With an Internet subscription - Other service,Estimate; Total: - No Internet access,Margin of Error; Total: - No Internet access
0400000US01,1,Alabama,1856695,0.750220149,5529,1315494,7772,21853,1209,463765,4215
0400000US02,2,Alaska,252536,0.865714195,1271,210684,1540,3831,382,33912,1022
0400000US04,4,Arizona,2482311,0.83488612,6429,1984786,8888,28259,1212,409864,4495
0400000US05,5,Arkansas,1147291,0.741483198,4059,773515,6347,12311,796,296594,3330
0400000US06,6,California,12888128,0.860054307,18518,10708603,29654,153121,2588,1803638,13073
0400000US08,8,Colorado,2082531,0.878354752,4593,1760603,5860,26520,1115,253330,2887
0400000US09,9,Connecticut,1361755,0.855340351,3669,1124123,4609,14328,824,196991,2824
0400000US10,10,Delaware,352357,0.842049399,1633,282455,2239,3290,337,55655,1428
0400000US11,11,District of Columbia,277985,0.825271148,1316,216694,1713,3006,384,48572,1247
0400000US12,12,Florida,7510882,0.832293597,23856,5945366,30154,74419,2204,1259623,9160
0400000US13,13,Georgia,3663104,0.81314317,8973,2829477,13072,38313,1602,684476,6091
0400000US15,15,Hawaii,455502,0.855985265,2028,375435,2583,3401,392,65599,1518
0400000US16,16,Idaho,609124,0.824753252,2433,476141,3665,9683,708,106747,2373
0400000US17,17,Illinois,4818452,0.826071319,9284,3806191,13160,59063,1632,838067,6093
0400000US18,18,Indiana,2537189,0.797865669,7046,1924615,9835,29750,1067,512853,4986
0400000US19,19,Iowa,1251587,0.814576214,3914,970584,4965,12484,601,232074,2434
0400000US20,20,Kansas,1121943,0.819528265,3987,876189,5473,13545,682,202479,2942
0400000US21,21,Kentucky,1724514,0.774491248,4759,1267876,6477,14764,841,388893,3736
0400000US22,22,Louisiana,1737645,0.745222989,5467,1229301,7979,18171,939,442712,4730
0400000US23,23,Maine,554061,0.826237544,2330,436178,3084,5351,455,96275,1963
0400000US24,24,Maryland,2181093,0.864811358,4999,1818026,7104,25136,1082,294859,3753
0400000US25,25,Massachusetts,2585715,0.861682745,5003,2158489,6580,23049,1043,357649,3255
0400000US26,26,Michigan,3888646,0.81420911,8344,2995068,11193,41946,1191,722475,4536
0400000US27,27,Minnesota,2153202,0.852577696,5375,1758873,6949,25302,789,317430,2926
0400000US28,28,Mississippi,1103514,0.700102581,4104,716598,5447,11864,828,330941,3659
0400000US29,29,Missouri,2386203,0.801018187,6827,1808499,9353,30566,1152,474811,4395
0400000US30,30,Montana,419975,0.810148223,2155,324090,2576,5684,448,79733,1750
0400000US31,31,Nebraska,748405,0.824485406,2213,593077,2960,7875,473,131356,2081
0400000US32,32,Nevada,1052249,0.836084425,3833,840752,5247,11139,706,172480,2651
0400000US33,33,New Hampshire,526710,0.881483169,2332,448573,2724,3532,414,62424,1691
0400000US34,34,New Jersey,3199111,0.857265034,7594,2653702,9721,32713,1406,456625,4635
0400000US35,35,New Mexico,770435,0.744932408,3318,544940,3558,11865,675,196513,2818
0400000US36,36,New York,7302710,0.82835824,13551,5800278,18292,99352,2433,1253450,7747
0400000US37,37,North Carolina,3874346,0.802126088,8789,2959479,13363,34857,1283,766632,6549
0400000US38,38,North Dakota,311525,0.831875451,1685,243260,1929,2729,347,52375,1155
0400000US39,39,Ohio,4633145,0.81356422,10307,3605276,12434,46400,1591,863784,5007
0400000US40,40,Oklahoma,1468971,0.779886737,2956,1077717,3712,23622,820,323340,2821
0400000US41,41,Oregon,1571631,0.862920749,4213,1298425,5256,19106,827,215438,2875
0400000US42,42,Pennsylvania,5007442,0.807640308,10133,3888078,13324,48973,1538,963230,6146
0400000US44,44,Rhode Island,412028,0.831606104,1756,331489,2060,3210,391,69383,1511
0400000US45,45,South Carolina,1871307,0.774609404,5896,1366055,7918,28425,1169,421775,4333
0400000US46,46,South Dakota,339458,0.808901248,1687,259678,2038,4023,370,64870,1111
0400000US47,47,Tennessee,2547194,0.772567382,6362,1860345,8893,25906,1010,579315,4792
0400000US48,48,Texas,9430419,0.811393428,18380,7288964,28600,154630,2664,1778639,12159
0400000US49,49,Utah,938365,0.893391164,2549,791428,3560,10834,550,100038,2399
0400000US50,50,Vermont,258535,0.839526563,1156,205932,1653,2523,223,41488,1167
0400000US51,51,Virginia,3105636,0.842001445,8001,2506081,11071,37220,1193,490686,5085
0400000US53,53,Washington,2755697,0.880131959,6338,2340307,7872,32915,1476,330320,3847
0400000US54,54,West Virginia,737671,0.748282093,2866,523624,3640,6200,556,185685,2651
0400000US55,55,Wisconsin,2328754,0.823810931,6459,1841073,7395,25238,809,410301,3207
0400000US56,56,Wyoming,230237,0.843808771,1679,183977,1512,3171,338,35961,1084
0400000US72,72,Puerto Rico,1222606,0.569658582,3569,657906,4378,6168,546,526138,3703
